m,y,url
8,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_08.html
9,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_09.html
10,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_10.html
11,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_11.html
12,2015,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2015_12.html
1,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_01.html
2,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_02.html
3,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_03.html
4,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_04.html
5,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_05.html
6,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_06.html
7,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_07.html
8,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_08.html
9,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_09.html
10,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_10.html
11,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_11.html
12,2016,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2016_12.html
1,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_01.html
2,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_02.html
3,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_03.html
4,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_04.html
5,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_05.html
6,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_06.html
7,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_07.html
8,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_08.html
9,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_09.html
10,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_10.html
11,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_11.html
12,2017,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2017_12.html
1,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_01.html
2,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_02.html
3,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_03.html
4,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_04.html
5,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_05.html
6,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_06.html
7,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_07.html
8,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_08.html
9,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_09.html
10,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_10.html
11,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_11.html
12,2018,http://www.nwd-wc.usace.army.mil/ftppub/water_quality/tempstrings/FOS_S1_2018_12.html
